Id;Codigo;Nombre;Pais;Dpto;Status
1;1;MEDELLIN;169;5;1
2;2;ABEJORRAL;169;5;1
3;4;ABRIAQUI;169;5;1
4;21;ALEJANDRIA;169;5;1
5;30;AMAGA;169;5;1
6;31;AMALFI;169;5;1
7;34;ANDES;169;5;1
8;36;ANGELOPOLIS;169;5;1
9;38;ANGOSTURA;169;5;1
10;40;ANORI;169;5;1
11;42;ANTIOQUIA;169;5;1
12;44;ANZA;169;5;1
13;45;APARTADO;169;5;1
14;51;ARBOLETES;169;5;1
15;55;ARGELIA;169;5;1
16;59;ARMENIA;169;5;1
17;79;BARBOSA;169;5;1
18;86;BELMIRA;169;5;1
19;88;BELLO;169;5;1
20;91;BETANIA;169;5;1
21;93;BETULIA;169;5;1
22;101;BOLIVAR;169;5;1
23;107;BRICE¾O;169;5;1
24;113;BURITICA;169;5;1
25;120;CACERES;169;5;1
26;125;CAICEDO;169;5;1
27;129;CALDAS;169;5;1
28;134;CAMPAMENTO;169;5;1
29;138;CA¾ASGORDAS;169;5;1
30;142;CARACOLI;169;5;1
31;145;CARAMANTA;169;5;1
32;147;CAREPA;169;5;1
33;148;CARMEN DE VIBORAL;169;5;1
34;150;CAROLINA;169;5;1
35;154;CAUCASIA;169;5;1
36;172;CHIGORODO;169;5;1
37;190;CISNEROS;169;5;1
38;197;COCORNA;169;5;1
39;206;CONCEPCION;169;5;1
40;209;CONCORDIA;169;5;1
41;212;COPACABANA;169;5;1
42;234;DABEIBA;169;5;1
43;237;DON MATIAS;169;5;1
44;240;EBEJICO;169;5;1
45;250;EL BAGRE;169;5;1
46;264;ENTRERRIOS;169;5;1
47;266;ENVIGADO;169;5;1
48;282;FREDONIA;169;5;1
49;284;FRONTINO;169;5;1
50;306;GIRALDO;169;5;1
51;308;GIRARDOTA;169;5;1
52;310;GOMEZ PLATA;169;5;1
53;313;GRANADA;169;5;1
54;315;GUADALUPE;169;5;1
55;318;GUARNE;169;5;1
56;321;GUATAPE;169;5;1
57;347;HELICONIA;169;5;1
58;353;HISPANIA;169;5;1
59;360;ITAGUI;169;5;1
60;361;ITUANGO;169;5;1
61;364;JARDIN;169;5;1
62;368;JERICO;169;5;1
63;376;LA CEJA;169;5;1
64;380;LA ESTRELLA;169;5;1
65;390;LA PINTADA;169;5;1
66;400;LA UNION;169;5;1
67;411;LIBORINA;169;5;1
68;425;MACEO;169;5;1
69;440;MARINILLA;169;5;1
70;467;MONTEBELLO;169;5;1
71;475;MURINDO;169;5;1
72;480;MUTATA;169;5;1
73;483;NARI¾O;169;5;1
74;490;NECOCLI;169;5;1
75;495;NECHI;169;5;1
76;501;OLAYA;169;5;1
77;541;PE¾OL;169;5;1
78;543;PEQUE;169;5;1
79;576;PUEBLORRICO;169;5;1
80;579;PUERTO BERRIO;169;5;1
81;585;PUERTO NARE (LA MAGDALENA);169;5;1
82;591;PUERTO TRIUNFO;169;5;1
83;604;REMEDIOS;169;5;1
84;607;RETIRO;169;5;1
85;615;RIONEGRO;169;5;1
86;628;SABANALARGA;169;5;1
87;631;SABANETA;169;5;1
88;642;SALGAR;169;5;1
89;647;SAN ANDRES;169;5;1
90;649;SAN CARLOS;169;5;1
91;652;SAN FRANCISCO;169;5;1
92;656;SAN JERONIMO;169;5;1
93;658;SAN JOSE DE LA MONTA¾A;169;5;1
94;659;SAN JUAN DE URABA;169;5;1
95;660;SAN LUIS;169;5;1
96;664;SAN PEDRO;169;5;1
97;665;SAN PEDRO DE URABA;169;5;1
98;667;SAN RAFAEL;169;5;1
99;670;SAN ROQUE;169;5;1
100;674;SAN VICENTE;169;5;1
101;679;SANTA BARBARA;169;5;1
102;686;SANTA ROSA DE OSOS;169;5;1
103;690;SANTO DOMINGO;169;5;1
104;697;SANTUARIO;169;5;1
105;736;SEGOVIA;169;5;1
106;756;SONSON;169;5;1
107;761;SOPETRAN;169;5;1
108;789;TAMESIS;169;5;1
109;790;TARAZA;169;5;1
110;792;TARSO;169;5;1
111;809;TITIRIBI;169;5;1
112;819;TOLEDO;169;5;1
113;837;TURBO;169;5;1
114;842;URAMITA;169;5;1
115;847;URRAO;169;5;1
116;854;VALDIVIA;169;5;1
117;856;VALPARAISO;169;5;1
118;858;VEGACHI;169;5;1
119;861;VENECIA;169;5;1
120;873;VIGIA DEL FUERTE;169;5;1
121;885;YALI;169;5;1
122;887;YARUMAL;169;5;1
123;890;YOLOMBO;169;5;1
124;893;YONDO;169;5;1
125;895;ZARAGOZA;169;5;1
126;1;BARRANQUILLA (DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA);169;8;1
127;78;BARANOA;169;8;1
128;137;CAMPO DE LA CRUZ;169;8;1
129;141;CANDELARIA;169;8;1
130;296;GALAPA;169;8;1
131;372;JUAN DE ACOSTA;169;8;1
132;421;LURUACO;169;8;1
133;433;MALAMBO;169;8;1
134;436;MANATI;169;8;1
135;520;PALMAR DE VARELA;169;8;1
136;549;PIOJO;169;8;1
137;558;POLO NUEVO;169;8;1
138;560;PONEDERA;169;8;1
139;573;PUERTO COLOMBIA;169;8;1
140;606;REPELON;169;8;1
141;634;SABANAGRANDE;169;8;1
142;638;SABANALARGA;169;8;1
143;675;SANTA LUCIA;169;8;1
144;685;SANTO TOMAS;169;8;1
145;758;SOLEDAD;169;8;1
146;770;SUAN;169;8;1
147;832;TUBARA;169;8;1
148;849;USIACURI;169;8;1
149;1;SANTA FE DE BOGOTA, D. C.;169;11;1
150;1;SANTAFE DE BOGOTA D.C.- USAQUEN;169;11;1
151;2;SANTAFE DE BOGOTA D.C.- CHAPINERO;169;11;1
152;3;SANTAFE DE BOGOTA D.C.- SANTA FE;169;11;1
153;4;SANTAFE DE BOGOTA D.C.- SAN CRISTOBAL;169;11;1
154;5;SANTAFE DE BOGOTA D.C.- USME;169;11;1
155;6;SANTAFE DE BOGOTA D.C.- TUNJUELITO;169;11;1
156;7;SANTAFE DE BOGOTA D.C.- BOSA;169;11;1
157;8;SANTAFE DE BOGOTA D.C.- KENNEDY;169;11;1
158;9;SANTAFE DE BOGOTA D.C.- FONTIBON;169;11;1
159;10;SANTAFE DE BOGOTA D.C.- ENGATIVA;169;11;1
160;11;SANTAFE DE BOGOTA D.C.- SUBA;169;11;1
161;12;SANTAFE DE BOGOTA D.C.- BARRIOS UNIDOS;169;11;1
162;13;SANTAFE DE BOGOTA D.C.- TEUSAQUILLO;169;11;1
163;14;SANTAFE DE BOGOTA D.C.- MARTIRES;169;11;1
164;15;SANTAFE DE BOGOTA D.C.- ANTONIO NARI¾O;169;11;1
165;16;SANTAFE DE BOGOTA D.C.- PUENTE ARANDA;169;11;1
166;17;SANTAFE DE BOGOTA D.C.- CANDELARIA;169;11;1
167;18;SANTAFE DE BOGOTA D.C.- RAFAEL URIBE;169;11;1
168;19;SANTAFE DE BOGOTA D.C.- CIUDAD BOLIVAR;169;11;1
169;20;SANTAFE DE BOGOTA D.C.- SUMAPAZ;169;11;1
170;1;CARTAGENA (DISTRITO TURISTICO Y CULTURAL DE CARTAGENA);169;13;1
171;6;ACHI;169;13;1
172;30;ALTOS DEL ROSARIO;169;13;1
173;42;ARENAL;169;13;1
174;52;ARJONA;169;13;1
175;62;ARROYOHONDO;169;13;1
176;74;BARRANCO DE LOBA;169;13;1
177;140;CALAMAR;169;13;1
178;160;CANTAGALLO;169;13;1
179;188;CICUCO;169;13;1
180;212;CORDOBA;169;13;1
181;222;CLEMENCIA;169;13;1
182;244;EL CARMEN DE BOLIVAR;169;13;1
183;248;EL GUAMO;169;13;1
184;268;EL PE¾ON;169;13;1
185;300;HATILLO DE LOBA;169;13;1
186;430;MAGANGUE;169;13;1
187;433;MAHATES;169;13;1
188;440;MARGARITA;169;13;1
189;442;MARIA LA BAJA;169;13;1
190;458;MONTECRISTO;169;13;1
191;468;MOMPOS;169;13;1
192;473;MORALES;169;13;1
193;549;PINILLOS;169;13;1
194;580;REGIDOR;169;13;1
195;600;RIO VIEJO;169;13;1
196;620;SAN CRISTOBAL;169;13;1
197;647;SAN ESTANISLAO;169;13;1
198;650;SAN FERNANDO;169;13;1
199;654;SAN JACINTO;169;13;1
200;655;SAN JACINTO DEL CAUCA;169;13;1
201;657;SAN JUAN NEPOMUCENO;169;13;1
202;667;SAN MARTIN DE LOBA;169;13;1
203;670;SAN PABLO;169;13;1
204;673;SANTA CATALINA;169;13;1
205;683;SANTA ROSA;169;13;1
206;688;SANTA ROSA DEL SUR;169;13;1
207;744;SIMITI;169;13;1
208;760;SOPLAVIENTO;169;13;1
209;780;TALAIGUA NUEVO;169;13;1
210;810;TIQUISIO (PUERTO RICO);169;13;1
211;836;TURBACO;169;13;1
212;838;TURBANA;169;13;1
213;873;VILLANUEVA;169;13;1
214;894;ZAMBRANO;169;13;1
215;1;TUNJA;169;15;1
216;22;ALMEIDA;169;15;1
217;47;AQUITANIA;169;15;1
218;51;ARCABUCO;169;15;1
219;87;BELEN;169;15;1
220;90;BERBEO;169;15;1
221;92;BETEITIVA;169;15;1
222;97;BOAVITA;169;15;1
223;104;BOYACA;169;15;1
224;106;BRICE¾O;169;15;1
225;109;BUENAVISTA;169;15;1
226;114;BUSBANZA;169;15;1
227;131;CALDAS;169;15;1
228;135;CAMPOHERMOSO;169;15;1
229;162;CERINZA;169;15;1
230;172;CHINAVITA;169;15;1
231;176;CHIQUINQUIRA;169;15;1
232;180;CHISCAS;169;15;1
233;183;CHITA;169;15;1
234;185;CHITARAQUE;169;15;1
235;187;CHIVATA;169;15;1
236;189;CIENEGA;169;15;1
237;204;COMBITA;169;15;1
238;212;COPER;169;15;1
239;215;CORRALES;169;15;1
240;218;COVARACHIA;169;15;1
241;223;CUBARA;169;15;1
242;224;CUCAITA;169;15;1
243;226;CUITIVA;169;15;1
244;232;CHIQUIZA;169;15;1
245;236;CHIVOR;169;15;1
246;238;DUITAMA;169;15;1
247;244;EL COCUY;169;15;1
248;248;EL ESPINO;169;15;1
249;272;FIRAVITOBA;169;15;1
250;276;FLORESTA;169;15;1
251;293;GACHANTIVA;169;15;1
252;296;GAMEZA;169;15;1
253;299;GARAGOA;169;15;1
254;317;GUACAMAYAS;169;15;1
255;322;GUATEQUE;169;15;1
256;325;GUAYATA;169;15;1
257;332;GUICAN;169;15;1
258;362;IZA;169;15;1
259;367;JENESANO;169;15;1
260;368;JERICO;169;15;1
261;377;LABRANZAGRANDE;169;15;1
262;380;LA CAPILLA;169;15;1
263;401;LA VICTORIA;169;15;1
264;403;LA UVITA;169;15;1
265;407;VILLA DE LEIVA;169;15;1
266;425;MACANAL;169;15;1
267;442;MARIPI;169;15;1
268;455;MIRAFLORES;169;15;1
269;464;MONGUA;169;15;1
270;466;MONGUI;169;15;1
271;469;MONIQUIRA;169;15;1
272;476;MOTAVITA;169;15;1
273;480;MUZO;169;15;1
274;491;NOBSA;169;15;1
275;494;NUEVO COLON;169;15;1
276;500;OICATA;169;15;1
277;507;OTANCHE;169;15;1
278;511;PACHAVITA;169;15;1
279;514;PAEZ;169;15;1
280;516;PAIPA;169;15;1
281;518;PAJARITO;169;15;1
282;522;PANQUEBA;169;15;1
283;531;PAUNA;169;15;1
284;533;PAYA;169;15;1
285;537;PAZ DEL RIO;169;15;1
286;542;PESCA;169;15;1
287;550;PISBA;169;15;1
288;572;PUERTO BOYACA;169;15;1
289;580;QUIPAMA;169;15;1
290;599;RAMIRIQUI;169;15;1
291;600;RAQUIRA;169;15;1
292;621;RONDON;169;15;1
293;632;SABOYA;169;15;1
294;638;SACHICA;169;15;1
295;646;SAMACA;169;15;1
296;660;SAN EDUARDO;169;15;1
297;664;SAN JOSE DE PARE;169;15;1
298;667;SAN LUIS DE GACENO;169;15;1
299;673;SAN MATEO;169;15;1
300;676;SAN MIGUEL DE SEMA;169;15;1
301;681;SAN PABLO DE BORBUR;169;15;1
302;686;SANTANA;169;15;1
303;690;SANTA MARIA;169;15;1
304;693;SANTA ROSA DE VITERBO;169;15;1
305;696;SANTA SOFIA;169;15;1
306;720;SATIVANORTE;169;15;1
307;723;SATIVASUR;169;15;1
308;740;SIACHOQUE;169;15;1
309;753;SOATA;169;15;1
310;755;SOCOTA;169;15;1
311;757;SOCHA;169;15;1
312;759;SOGAMOSO;169;15;1
313;761;SOMONDOCO;169;15;1
314;762;SORA;169;15;1
315;763;SOTAQUIRA;169;15;1
316;764;SORACA;169;15;1
317;774;SUSACON;169;15;1
318;776;SUTAMARCHAN;169;15;1
319;778;SUTATENZA;169;15;1
320;790;TASCO;169;15;1
321;798;TENZA;169;15;1
322;804;TIBANA;169;15;1
323;806;TIBASOSA;169;15;1
324;808;TINJACA;169;15;1
325;810;TIPACOQUE;169;15;1
326;814;TOCA;169;15;1
327;816;TOGUI;169;15;1
328;820;TOPAGA;169;15;1
329;822;TOTA;169;15;1
330;832;TUNUNGUA;169;15;1
331;835;TURMEQUE;169;15;1
332;837;TUTA;169;15;1
333;839;TUTASA;169;15;1
334;842;UMBITA;169;15;1
335;861;VENTAQUEMADA;169;15;1
336;879;VIRACACHA;169;15;1
337;897;ZETAQUIRA;169;15;1
338;1;MANIZALES;169;17;1
339;13;AGUADAS;169;17;1
340;42;ANSERMA;169;17;1
341;50;ARANZAZU;169;17;1
342;88;BELALCAZAR;169;17;1
343;174;CHINCHINA;169;17;1
344;272;FILADELFIA;169;17;1
345;380;LA DORADA;169;17;1
346;388;LA MERCED;169;17;1
347;433;MANZANARES;169;17;1
348;442;MARMATO;169;17;1
349;444;MARQUETALIA;169;17;1
350;446;MARULANDA;169;17;1
351;486;NEIRA;169;17;1
352;495;NORCASIA;169;17;1
353;513;PACORA;169;17;1
354;524;PALESTINA;169;17;1
355;541;PENSILVANIA;169;17;1
356;614;RIOSUCIO;169;17;1
357;616;RISARALDA;169;17;1
358;653;SALAMINA;169;17;1
359;662;SAMANA;169;17;1
360;665;SAN JOSE;169;17;1
361;777;SUPIA;169;17;1
362;867;VICTORIA;169;17;1
363;873;VILLAMARIA;169;17;1
364;877;VITERBO;169;17;1
365;1;FLORENCIA;169;18;1
366;29;ALBANIA;169;18;1
367;94;BELEN DE LOS ANDAQUIES;169;18;1
368;150;CARTAGENA DEL CHAIRA;169;18;1
369;205;CURILLO;169;18;1
370;247;EL DONCELLO;169;18;1
371;256;EL PAUJIL;169;18;1
372;410;LA MONTA¾ITA;169;18;1
373;460;MILAN;169;18;1
374;479;MORELIA;169;18;1
375;592;PUERTO RICO;169;18;1
376;610;SAN JOSE DE FRAGUA;169;18;1
377;753;SAN  VICENTE DEL CAGUAN;169;18;1
378;756;SOLANO;169;18;1
379;785;SOLITA;169;18;1
380;860;VALPARAISO;169;18;1
381;1;POPAYAN;169;19;1
382;22;ALMAGUER;169;19;1
383;50;ARGELIA;169;19;1
384;75;BALBOA;169;19;1
385;100;BOLIVAR;169;19;1
386;110;BUENOS AIRES;169;19;1
387;130;CAJIBIO;169;19;1
388;137;CALDONO;169;19;1
389;142;CALOTO;169;19;1
390;212;CORINTO;169;19;1
391;256;EL TAMBO;169;19;1
392;290;FLORENCIA;169;19;1
393;318;GUAPI;169;19;1
394;355;INZA;169;19;1
395;364;JAMBALO;169;19;1
396;392;LA SIERRA;169;19;1
397;397;LA VEGA;169;19;1
398;418;LOPEZ (MICAY);169;19;1
399;450;MERCADERES;169;19;1
400;455;MIRANDA;169;19;1
401;473;MORALES;169;19;1
402;513;PADILLA;169;19;1
403;517;PAEZ (BELALCAZAR);169;19;1
404;532;PATIA (EL BORDO);169;19;1
405;533;PIAMONTE;169;19;1
406;548;PIENDAMO;169;19;1
407;573;PUERTO TEJADA;169;19;1
408;585;PURACE (COCONUCO);169;19;1
409;622;ROSAS;169;19;1
410;693;SAN SEBASTIAN;169;19;1
411;698;SANTANDER DE QUILICHAO;169;19;1
412;701;SANTA ROSA;169;19;1
413;743;SILVIA;169;19;1
414;760;SOTARA (PAISPAMBA);169;19;1
415;780;SUAREZ;169;19;1
416;807;TIMBIO;169;19;1
417;809;TIMBIQUI;169;19;1
418;821;TORIBIO;169;19;1
419;824;TOTORO;169;19;1
420;845;VILLARICA;169;19;1
421;1;VALLEDUPAR;169;20;1
422;11;AGUACHICA;169;20;1
423;13;AGUSTIN CODAZZI;169;20;1
424;32;ASTREA;169;20;1
425;45;BECERRIL;169;20;1
426;60;BOSCONIA;169;20;1
427;175;CHIMICHAGUA;169;20;1
428;178;CHIRIGUANA;169;20;1
429;228;CURUMANI;169;20;1
430;238;EL COPEY;169;20;1
431;250;EL PASO;169;20;1
432;295;GAMARRA;169;20;1
433;310;GONZALEZ;169;20;1
434;383;LA GLORIA;169;20;1
435;400;LA JAGUA IBIRICO;169;20;1
436;443;MANAURE (BALCON DEL CESAR);169;20;1
437;517;PAILITAS;169;20;1
438;550;PELAYA;169;20;1
439;570;PUEBLO BELLO;169;20;1
440;614;RIO DE ORO;169;20;1
441;621;LA PAZ (ROBLES);169;20;1
442;710;SAN ALBERTO;169;20;1
443;750;SAN DIEGO;169;20;1
444;770;SAN MARTIN;169;20;1
445;787;TAMALAMEQUE;169;20;1
446;1;MONTERIA;169;23;1
447;68;AYAPEL;169;23;1
448;79;BUENAVISTA;169;23;1
449;90;CANALETE;169;23;1
450;162;CERETE;169;23;1
451;168;CHIMA;169;23;1
452;182;CHINU;169;23;1
453;189;CIENAGA DE ORO;169;23;1
454;300;COTORRA;169;23;1
455;350;LA APARTADA;169;23;1
456;417;LORICA;169;23;1
457;419;LOS CORDOBAS;169;23;1
458;464;MOMIL;169;23;1
459;466;MONTELIBANO;169;23;1
460;500;MO¾ITOS;169;23;1
461;555;PLANETA RICA;169;23;1
462;570;PUEBLO NUEVO;169;23;1
463;574;PUERTO ESCONDIDO;169;23;1
464;580;PUERTO LIBERTADOR;169;23;1
465;586;PURISIMA;169;23;1
466;660;SAHAGUN;169;23;1
467;670;SAN ANDRES SOTAVENTO;169;23;1
468;672;SAN ANTERO;169;23;1
469;675;SAN BERNARDO DEL VIENTO;169;23;1
470;678;SAN CARLOS;169;23;1
471;686;SAN PELAYO;169;23;1
472;807;TIERRALTA;169;23;1
473;855;VALENCIA;169;23;1
474;1;AGUA DE DIOS;169;25;1
475;19;ALBAN;169;25;1
476;35;ANAPOIMA;169;25;1
477;40;ANOLAIMA;169;25;1
478;53;ARBELAEZ;169;25;1
479;86;BELTRAN;169;25;1
480;95;BITUIMA;169;25;1
481;99;BOJACA;169;25;1
482;120;CABRERA;169;25;1
483;123;CACHIPAY;169;25;1
484;126;CAJICA;169;25;1
485;148;CAPARRAPI;169;25;1
486;151;CAQUEZA;169;25;1
487;154;CARMEN DE CARUPA;169;25;1
488;168;CHAGUANI;169;25;1
489;175;CHIA;169;25;1
490;178;CHIPAQUE;169;25;1
491;181;CHOACHI;169;25;1
492;183;CHOCONTA;169;25;1
493;200;COGUA;169;25;1
494;214;COTA;169;25;1
495;224;CUCUNUBA;169;25;1
496;245;EL COLEGIO;169;25;1
497;258;EL PE¾ON;169;25;1
498;260;EL ROSAL;169;25;1
499;269;FACATATIVA;169;25;1
500;279;FOMEQUE;169;25;1
501;281;FOSCA;169;25;1
502;286;FUNZA;169;25;1
503;288;FUQUENE;169;25;1
504;290;FUSAGASUGA;169;25;1
505;293;GACHALA;169;25;1
506;295;GACHANCIPA;169;25;1
507;297;GACHETA;169;25;1
508;299;GAMA;169;25;1
509;307;GIRARDOT;169;25;1
510;312;GRANADA;169;25;1
511;317;GUACHETA;169;25;1
512;320;GUADUAS;169;25;1
513;322;GUASCA;169;25;1
514;324;GUATAQUI;169;25;1
515;326;GUATAVITA;169;25;1
516;328;GUAYABAL DE SIQUIMA;169;25;1
517;335;GUAYABETAL;169;25;1
518;339;GUTIERREZ;169;25;1
519;368;JERUSALEN;169;25;1
520;372;JUNIN;169;25;1
521;377;LA CALERA;169;25;1
522;386;LA MESA;169;25;1
523;394;LA PALMA;169;25;1
524;398;LA PE¾A;169;25;1
525;402;LA VEGA;169;25;1
526;407;LENGUAZAQUE;169;25;1
527;426;MACHETA;169;25;1
528;430;MADRID;169;25;1
529;436;MANTA;169;25;1
530;438;MEDINA;169;25;1
531;473;MOSQUERA;169;25;1
532;483;NARI¾O;169;25;1
533;486;NEMOCON;169;25;1
534;488;NILO;169;25;1
535;489;NIMAIMA;169;25;1
536;491;NOCAIMA;169;25;1
537;506;VENECIA (OSPINA PEREZ);169;25;1
538;513;PACHO;169;25;1
539;518;PAIME;169;25;1
540;524;PANDI;169;25;1
541;530;PARATEBUENO;169;25;1
542;535;PASCA;169;25;1
543;572;PUERTO SALGAR;169;25;1
544;580;PULI;169;25;1
545;592;QUEBRADANEGRA;169;25;1
